Beam50,Beam
214938.1,116281
214875.9,116257.7
214852.4,116270.4
214978,116328.2
215184.1,116433.4
215453.1,116560.5
215839.8,116741.7
216241.3,116943.7
216697.4,117154
217215.8,117387.6
217744,117635.8
218273,117892.3
218840.8,118165.9
219407.1,118426.3
219963.6,118667.8
220510.4,118913.3
221009.6,119147.2
221493.6,119366.5
221950,119563.9
222373.1,119764.2
222783.5,119950.8
223145.9,120113.3
223474.9,120255.3
223774,120390.9
224049.5,120515.9
224307.6,120606.3
224530.4,120705.9
224748.4,120788.7
224894.9,120860.9
225051.9,120935.6
225188.5,120988.9
225298.5,121035.3
225423.1,121079.9
225525,121123.5
225615.3,121165.2
225677.5,121173.8
225725.6,121192.9
225773.6,121218.8
225830.9,121238.4
225864.9,121253.3
225903.8,121270.6
225934.4,121281.7
225944.9,121289.4
225969.1,121303.7
225972.1,121295.7
225981.4,121307.3
226009.6,121318.1
226020.3,121318.3
226032.5,121322.1
226012.4,121326.8
226025.6,121327.7
226045.8,121325.1
226055.3,121332.3
226040.6,121325.6
226054.9,121336.9
226067.9,121343.5
226063.1,121347.6
226067.5,121350.1
226070.6,121340.4
226087.3,121345.6
226094.1,121343.7
226098.5,121357.1
226098.9,121355.1
226107.8,121360.7
226114.3,121358.5
226078.5,121354.4
226092.8,121353.4
226080.1,121358.5
226096.1,121354.4
226109.4,121369.4
226106,121373.6
226113.9,121364.6
226094.8,121370.6
226095.1,121356.8
226101.3,121361.8
226097.1,121366.1
226111.9,121371.9
226114.9,121363.1
226110.1,121358.3
226121.4,121363.9
226116.9,121366.5
226100.9,121365.5
226093.4,121348.1
226113.5,121365.8
226092.4,121358.5
226099.5,121369.4
226096.9,121375.5
226110.8,121365.8
226110.8,121364.9
226138.4,121366.1
226130.5,121371.9
226123.4,121371.6
226121.4,121366.8
226101.6,121366.5
226110.8,121376.6
226127.5,121366
226115.5,121370.8
226118,121384.6
226113.1,121386.1
226107.8,121369.8
226114.3,121384.9
226120,121380.4
226127.5,121385.9
226110.8,121377.3
226121.4,121374
226116.6,121372.8
226122.4,121381.5
226109.1,121373.1
226106.8,121367.2
226101.9,121367.2
226113.1,121373.1
226120.4,121372.6
226127.5,121377.1
226137.8,121386.4
226119.3,121379.8
226116.6,121376.7
226125.8,121376.9
226132.6,121375.9
226139,121382.7
226132.3,121381.3
226138.8,121375.9
226126.8,121373.1
226135,121376.2
226127.1,121375.4
226131.9,121377.9
226141.8,121385.8
226139.8,121386.4
226135.3,121384.6
226123.8,121374.7
226135.3,121376.7
226126.8,121374.5
226139.4,121389.3
226143.5,121386.9
226143.1,121378.3
226128.5,121363.9
226099.9,121371.1
226118,121372.1
226118.3,121364.4
226120.4,121372.8
226101.9,121373.5
226106.8,121375
226105,121371.8
226109.4,121378.6
226148.6,121373
226142.8,121380.8
226139.4,121381
226121,121385.6
226143.1,121380.3
226138,121375.4
226142.5,121376.1
226137.8,121378.4
226127.1,121380.1
226136.6,121378.9
226127.5,121376.9
226134.6,121378.1
226117.6,121382.3
226126.1,121379.9
226132.3,121381.5
226146.9,121391.4
226138.4,121388.8
226158.5,121388.5
226140.4,121379.8
226116.6,121384.1
226120,121379.3
226120.6,121374.8
226120.4,121387.8
226130.3,121392.2
226126.8,121389
226117.6,121381.8
226106.8,121369.6
226109.4,121365.3
226115.9,121363.4
226115.9,121378.8
226104.6,121390
226126.5,121390.5
226116.3,121379.3
226132.3,121385.6
226135,121391.9
226114.3,121395.4
226120.4,121396.3
226140.1,121395.9
226131.9,121389
226121,121387.1
226137,121389
226131.6,121388.6
226108.8,121371.1
226117.6,121385.6
226107,121388.3
226134.6,121387.4
226124.8,121383.2
226093.8,121377.6
226122.8,121383.4
226108.4,121376.1
226108.4,121383.7
226109.4,121374.3
226106,121385.1
226125.4,121389.5
226098.5,121377.8
226128.9,121378.1
226113.9,121385.4
226111.1,121366.5
226137.8,121380.1
226137.8,121384.2
226140.8,121383.2
226145.9,121382
226120.6,121384.9
226110.5,121369.9
226111.1,121376.4
226106.8,121385.3
226121.4,121382.5
226140.1,121378.9
226125.1,121377.1
226123,121382.2
226113.9,121369.4
226137.4,121370.8
226135,121383.5
226126.1,121394.4
226128.9,121394.3
226123.8,121374.8
226103.3,121371.6
226104.4,121371.1
226091.4,121368.2
226103.6,121373
226110.8,121380.1
226104.6,121379.6
226111.9,121373.8
226124.4,121389
226117.3,121376.7
226131.9,121387.6
226123,121401.1
226132.9,121392.4
226139.4,121386.9
226140.1,121390.2
226134.3,121389.7
226118.3,121390.2
226128.9,121382.2
226135,121389.5
226132.3,121387.9
226134,121382.3
226130.5,121373.6
226125.4,121375.7
226116.6,121385.8
226129.9,121398.2
226136.4,121398.5
226135.3,121392.7
226119.3,121385.6
226132.6,121392.4
226120.4,121385.8
226103.3,121376.6
226119.6,121373.1
226112.1,121386.1
226089.6,121383.4
226102.6,121382.2
226115.5,121377.4
226119.6,121383.4
226119,121376.1
226135.6,121380.3
226138.4,121391.4
226142.8,121390.4
226149.6,121378.3
226154,121380.6
226120.6,121377.8
226121.4,121375.9
226126.8,121379.8
226129.5,121396.1
226127.1,121383.9
226124.4,121377.8
226122.8,121394.8
226124.1,121395.1
226112.1,121389.8
226122,121391.9
226114.9,121381.7
226121,121390.7
226130.9,121379.9
226110.8,121385.4
226109.4,121368.9
226099.3,121366.7
226091.4,121372.3
226101.6,121382.9
226113.9,121380.6
226095.5,121375.4
226084.9,121374.2
226093.1,121390
226104.4,121394.8
226113.9,121384.1
226129.1,121387.6
226134.6,121398
226127.9,121393.9
226124.1,121383
226107.4,121386.9
226093.8,121379.9
226123.4,121383.9
226126.1,121382
226105,121379.4
226109.8,121384.8
226102.6,121383.4
226088,121387.4
226100.3,121373.8
226114.9,121380.6
226119,121383.9
226116.3,121372.1
226115.9,121376.2
226115.5,121374.7
226107.4,121383.4
226088.6,121371.8
226080.5,121376.2
226105,121379.8
226119,121378.4
226106.8,121379.9
226098.1,121380.8
226101.3,121396.6
226084.9,121380.1
226087,121372.3
226096.1,121385.6
226100.6,121379.1
226108.4,121385.8
226118,121382.9
226114.5,121386.1
226092.8,121378.8
226107,121372.3
226105.6,121372.3
226113.9,121373.6
226094.1,121374.8
226108.1,121383.7
226090.8,121374.7
226110.1,121377.8
226118,121383.5
226108.8,121366.5
226108.1,121379.3
226103.6,121373.5
226105.4,121374.8
226094.8,121379.9
226072.6,121367.9
226074.8,121367
226086.6,121359
226105.4,121373.1
226096.1,121370.3
226095.8,121382.3
226081.9,121368.4
226097.9,121373.5
226081.5,121369.3
226099.5,121369.1
226108.8,121362.1
226100.9,121377.3
226120,121372.1
226085.3,121366.7
226073.6,121369.4
226099.3,121380.1
226098.9,121378.8
226100.9,121384.1
226095.8,121387.9
226105.6,121386.3
226061.4,121378.4
226067.3,121374.5
226064.8,121368.7
226081.1,121375.2
226103,121384.6
226096.1,121375.2
226099.5,121381.7
226081.9,121375.7
226070.6,121368.6
226063.8,121372.6
226073.4,121366
226070.3,121367.7
226091,121377.6
226080.8,121364.9
226068.5,121379.1
226083.5,121374
226083.9,121378.6
226066.9,121379.3
226081.5,121381
226075.8,121382
226112.1,121365.8
226088,121369.4
226081.5,121368
226079.8,121367.4
226074.4,121363.8
226088.6,121377.3
226071,121377.8
226077.4,121379.9
226087,121375.2
226076.4,121383.9
226060.4,121382.7
226081.9,121376.6
226076.4,121368.2
226085.3,121366.5
226088.6,121377.8
226062.1,121357.8
226055.6,121358.1
226059.4,121355.6
226061.4,121353.3
226065.5,121353.3
226066.9,121358
226094.1,121371.6
226078.8,121361.1
226088.6,121364.9
226081.9,121355.4
226107,121358.3
226097.1,121378.8
226069.9,121380.1
226076,121373.5
226045.4,121365.6
226065.5,121373.6
226072.6,121378.6
226068.9,121380.1
226076,121381.5
226087.3,121375.2
226079.5,121372.4
226084.9,121374.7
226088,121369.9
226071.3,121380.8
226086.3,121379.8
226085.6,121384.4
226081.5,121375.9
226083.9,121363.8
226077.1,121364.9
226074,121364.9
226070.3,121355.3
226059,121355.6
226067.5,121361.4
226066.1,121358.8
226051.9,121368.2
226051.5,121372.8
226056.6,121371.1
226064.1,121370.4
226074.4,121368
226079.5,121370.8
226085.3,121366.5
226064.5,121372.6
226061.8,121363.4
226067.9,121362.3
226061.1,121364.6
226054.9,121366.8
226057.4,121363.1
226054.9,121360.2
226081.1,121373.6
226060.8,121364.8
226059.4,121364.4
226072.6,121368
226061.8,121376.2
226076.4,121375
226064.5,121372.8
226061.8,121356.9
226061.1,121356.8
226047.1,121361.2
226030.1,121358.8
226039.6,121352.4
226058.4,121360.9
226062.1,121360.2
226076.4,121358.3
226066.9,121356.6
226064.8,121364.6
226045,121375.4
226069.9,121378.9
226069.3,121373.8
226062.8,121372.1
226062.8,121364.3
226075,121360.7
226063.8,121359.5
226059.8,121369.4
226071.6,121363.1
226077.8,121359.9
226059.4,121355.1
226061.8,121356.1
226053.9,121371.6
226043.8,121375.5
226041,121368.7
226062.4,121366
226066.1,121359.3
226060,121361.6
226060,121354.8
226055.3,121347.9
226041,121343.2
226041.3,121340.4
226040.6,121345.9
226063.8,121354.8
226058,121351.9
226057.6,121353.3
226028,121359.2
226030.8,121359
226028.8,121360.4
226040.3,121367.7
226032.5,121367
226048.5,121368.7
226043,121365.5
226031.8,121370.9
226026.6,121364.8
226025.6,121363.1
226036.9,121354.3
226031.4,121358.5
226044,121361.8
226067.3,121358.8
226040.3,121357.6
226036.9,121364.1
226033.1,121364.3
226038.6,121367.5
226040.6,121370.9
226025.6,121364.6
226050.9,121370.6
226048.5,121367.5
226032.5,121356.3
226018.1,121344.4
226017.5,121352.9
226027.4,121346.4
226027,121354.1
226028.8,121358.3
226019.9,121368.4
226014.8,121361.1
226021.9,121348.8
226056.6,121367.4
226040.6,121359.9
226036.9,121368.4
226044.8,121367
226048.5,121362.9
226041.6,121364.1
226006.3,121357.3
226047.8,121368
226041,121377.8
226048.1,121369.1
226050.9,121364.1
226046.4,121368.9
226046.1,121370.9
226033.8,121376.4
226040,121372.8
226029,121372.1
226049.5,121365.3
226038.6,121369.4
226025.6,121353.6
226005.3,121351
226006.6,121347.4
226013.4,121344.6
226032.5,121358.5
226036.3,121356.1
226024.6,121355.6
226033.8,121356.8
226029,121356.9
226027.8,121358.7
226034.1,121353.3
226043.4,121350.8
226031.1,121367.4
226022.3,121361.2
226033.8,121361.2
226041.3,121364.4
226029,121355.4
226034.1,121368
226043,121371.3
226036.9,121367
226047.1,121366
226036.3,121352.2
226044.4,121366
226041.3,121363.6
226046.4,121360
226022.6,121346.3
226026.6,121352.4
226035.1,121363.1
226004.1,121349.5
225995.6,121347.9
226020.9,121349.3
226008.6,121353.4
226011,121359.2
226019.5,121356.6
225990.6,121360.2
225996.6,121367.4
226027,121361.1
226002.9,121344.2
226027,121353.8
226021.9,121341.4
226025.6,121353.8
226015.8,121359
226024.6,121365.5
226027,121362.3
226009,121351.4
226022.9,121348.3
226037.5,121356.6
226043,121359
226039.3,121362.8
226016.5,121354.6
226039.3,121359.3
226034.5,121357.6
226025.6,121361.6
226020.9,121358.7
226037.5,121353.3
226011.4,121359.9
226019.1,121350
225999.1,121346.8
226018.9,121358
226027.4,121356.8
226026,121340.1
226021.9,121348.9
226040.6,121358.5
226018.9,121349.8
226009.3,121354.3
226010,121341.6
226030.4,121350.3
226027.4,121351.7
226044.8,121352
226029.4,121353.8
226023.6,121358.7
226021.5,121355.8
226005.9,121344.6
226028.8,121361.8
226026.4,121342
226023.3,121347.3
226022.3,121354.4
226025,121346.1
226025,121348.9
225997.4,121348.9
226014.4,121349.6
226016.8,121366.7
226023.6,121366.5
226015.4,121360.4
226012.8,121348.6
226009,121352.4
225999.8,121347.8
226001.1,121346.3
226002.1,121352.4
225999.8,121358.7
225993.6,121355.4
226016.1,121356.4
226015.1,121355.6
225997,121347.4
226003.5,121355.8
226017.1,121358.7
