Beam 50,Beam 52,ratio1
4733952,1550133,0.327450088213822
4733924,1550124,0.327450123829618
4733888,1550111,0.327449867846472
4733948,1550129,0.32744951993558
4734232,1550210,0.327446986121508
4734348,1550276,0.327452903757814
4734300,1550289,0.327458969647044
4734392,1550308,0.327456619561709
4734504,1550294,0.327445916193122
4734624,1550297,0.327438250640389
4734704,1550350,0.327443912016464
4734696,1550381,0.327451012694374
4734800,1550403,0.327448466672299
4734960,1550402,0.327437190599287
4735056,1550470,0.327444913006309
4735208,1550493,0.327439259268019
4735320,1550488,0.327430458765194
4735412,1550527,0.327432333237319
4735464,1550559,0.327435495233413
4735568,1550629,0.327443086024739
4735732,1550669,0.327440192983894
4735836,1550641,0.327427089958352
4735864,1550692,0.327435922991032
4735908,1550731,0.327441115832487
4735868,1550739,0.327445570695805
4736032,1550728,0.327431909243856
4736032,1550739,0.327434231863298
4736044,1550770,0.327439947770756
4736132,1550812,0.327442731748186
4736328,1550875,0.327442482868585
4736448,1550903,0.327440098571757
4736492,1550928,0.327442334960135
4736524,1550884,0.327430833243957
4736620,1550889,0.327425252606289
4736712,1550916,0.327424593262162
4736856,1550960,0.327423928445365
4736980,1550947,0.327412613099485
4736912,1550901,0.327407602252269
4736832,1550877,0.327408065137206
4737040,1550951,0.327409310455474
4737296,1551022,0.327406604949321
4737396,1551086,0.327413203371641
4737412,1551119,0.327419063404238
4737508,1551168,0.32742277163437
4737588,1551225,0.327429274136966
4737704,1551228,0.327421890434692
4737784,1551218,0.327414251050702
4737868,1551241,0.327413300666038
4737952,1551264,0.327412350315073
4738052,1551237,0.327399741497138
4738044,1551220,0.327396706320161
4737912,1551217,0.327405194524508
4737872,1551243,0.327413446374237
4738052,1551278,0.327408394842437
4738096,1551281,0.327405987552806
4738168,1551290,0.327402911842721
4738332,1551294,0.327392424169518
4738368,1551306,0.327392469305888
4738404,1551350,0.327399267770329
4738432,1551370,0.327401553931765
4738512,1551398,0.327401935459908
4738548,1551407,0.327401347416972
4735504,1550508,0.327421959732269
4574828,1500930,0.328084465689202
3960050,1309416,0.330656431105668
3332546,1111564,0.333547984033829
2921102,980427.5,0.335636174293126
2691500,906548.5,0.336819060003715
2573364,868230.5,0.337391251295969
2515946,849448.5,0.337625887042091
2489370,840676.5,0.337706528157727
2474824,835910.5,0.33776563505122
2216686,755822.5,0.340969582520934
1574145,553964,0.351914213747781
1012111,375507.3,0.371013950050933
650489.5,259638.6,0.399143414305688
445025.5,193253.6,0.434252868655841
335869.8,157703.9,0.469538791519809
280233.5,139433.8,0.497562925203446
252627.8,130298.2,0.515771423414209
239207.1,125824.4,0.526006126072345
232802.1,123664.2,0.531198816505521
229713.3,122628.1,0.533831084225424
228278,122141.4,0.535055502501336
227611.8,121917.8,0.535639189180877
227279,121794.6,0.535881449671989
227108.4,121731.6,0.536006594207876
227018.9,121701.1,0.536083559562662
226974.9,121679.3,0.536091435660947
226950.8,121686.7,0.536180969619847
226933,121672.5,0.536160452644613
226919.8,121665,0.536158589951163
226924.1,121654.8,0.536103481296169
226909.9,121645.1,0.536094282356125
226897.3,121640.5,0.536103779110637
226887.8,121645.4,0.536147822844595
226859.4,121640,0.536191138652399
226857.8,121631,0.53615524791301
226827,121621.9,0.536187931771791
226826,121629.8,0.536225124103939
226831.5,121634.2,0.536231519872681
226813.5,121625.5,0.536235717891572
226819.9,121631.8,0.536248362687754
226823,121623.5,0.536204441348541
226802.3,121615.1,0.536216343485053
226785.1,121627.6,0.536312129853328
226783.5,121618.7,0.53627666915803
226798.5,121613.4,0.536217832128519
226795.4,121614.6,0.536230452645865
226790.3,121618.6,0.536260148692426
226796.8,121615.8,0.536232433614584
226772.9,121611.1,0.536268222525708
226761.4,121603.2,0.536260580504442
226753.9,121608.2,0.53630036793193
226748.4,121602.9,0.536290002487338
226741.6,121598.1,0.536284916398226
226740.3,121599.8,0.536295488715504
226758.3,121604.3,0.536272762672855
226749.1,121587.9,0.536222194487211
226738.1,121588.8,0.536252178173849
226726.6,121589.8,0.536283788492396
226740.5,121593,0.536265025436567
226747.4,121591.3,0.536241209381012
226737.9,121592.1,0.536267205438526
226749.1,121597.1,0.536262767966885
226734.8,121591.1,0.536270127038284
226695.3,121589.4,0.536356069137737
226687.8,121609.4,0.536462041627295
226682.6,121592.8,0.536401117686139
226699.6,121581.3,0.536310165523009
226704.1,121582.3,0.536303930983163
226688.1,121568.6,0.536281348690117
226689.1,121575.3,0.536308538875491
226677.9,121578.2,0.536347830997199
226677.3,121570.7,0.536316163991719
226656.1,121558.3,0.536311619232838
226678.9,121568.4,0.536302231923659
226690.1,121576.6,0.536311907754242
226696.3,121583.4,0.536327236042229
226673.1,121574.3,0.536341983234888
226664.6,121568.8,0.536337831315521
226669.8,121571.6,0.536337880035188
226660.1,121570.5,0.536355979724707
226654.4,121563.9,0.536340349007123
226652.8,121568.3,0.536363548122944
226676.1,121564.8,0.536292974865899
226656.1,121566.9,0.536349562178119
226656.8,121569.5,0.536359376819932
226668.4,121573.4,0.536349133800742
226656.8,121565.3,0.536340846601558
226634,121555,0.536349356230751
226640.4,121560.3,0.536357595556662
226634.3,121564.8,0.536391887723968
226625.8,121558.3,0.536383324405253
226628.5,121554,0.536357960274193
226632.9,121556.4,0.536358136881274
226627.9,121548.6,0.536335552683496
226619,121548.2,0.536354851093686
226613.1,121545.1,0.536355135691626
226622.4,121560.8,0.536402403292878
226596.5,121550.6,0.536418700200577
226609.4,121554.5,0.536405374181301
226620,121555.4,0.536384255582032
226631.3,121546.7,0.536319122733709
226609.4,121547.4,0.536374042736091
