08
H2O16c_ppm_se,H2O18c_ppm_se,HODc_ppm_se,
1.13819e+04,2.24616e+01,3.04701e+00,
1.14765e+04,2.26310e+01,3.06286e+00,
1.15126e+04,2.26988e+01,3.08590e+00,
1.15661e+04,2.28206e+01,3.09944e+00,
1.15894e+04,2.28406e+01,3.09979e+00,
1.16586e+04,2.29983e+01,3.10559e+00,
1.16977e+04,2.30815e+01,3.13128e+00,
1.17286e+04,2.31136e+01,3.15129e+00,
1.17717e+04,2.31857e+01,3.12704e+00,
1.18059e+04,2.32690e+01,3.15556e+00,
1.18850e+04,2.34131e+01,3.18780e+00,
1.18816e+04,2.34157e+01,3.18633e+00,
1.19245e+04,2.35080e+01,3.19306e+00,
1.19431e+04,2.35503e+01,3.20851e+00,
1.19613e+04,2.35744e+01,3.21877e+00,
1.20175e+04,2.36809e+01,3.20463e+00,
1.20441e+04,2.37221e+01,3.23014e+00,
1.20330e+04,2.37230e+01,3.24147e+00,
1.20609e+04,2.37842e+01,3.22650e+00,
1.20845e+04,2.38226e+01,3.23843e+00,
1.20940e+04,2.38266e+01,3.25690e+00,
1.21178e+04,2.38826e+01,3.24462e+00,
1.21334e+04,2.39226e+01,3.23810e+00,
1.21701e+04,2.39608e+01,3.26421e+00,
1.21599e+04,2.39534e+01,3.27328e+00,
1.21721e+04,2.39930e+01,3.26992e+00,
1.22106e+04,2.40684e+01,3.28721e+00,
1.21609e+04,2.39616e+01,3.27650e+00,
1.22069e+04,2.40164e+01,3.28255e+00,
1.22089e+04,2.40592e+01,3.27054e+00,
1.22402e+04,2.41278e+01,3.28302e+00,
1.22889e+04,2.41854e+01,3.28597e+00,
1.22636e+04,2.41631e+01,3.31295e+00,
1.22731e+04,2.41626e+01,3.29596e+00,
1.22919e+04,2.41882e+01,3.31142e+00,
1.22883e+04,2.41939e+01,3.31464e+00,
1.23074e+04,2.42249e+01,3.30146e+00,
1.23502e+04,2.43023e+01,3.31250e+00,
1.22826e+04,2.41919e+01,3.30516e+00,
1.23053e+04,2.42558e+01,3.30482e+00,
1.23388e+04,2.42820e+01,3.31531e+00,
1.23196e+04,2.42620e+01,3.31320e+00,
1.23170e+04,2.42764e+01,3.30538e+00,
1.23695e+04,2.43637e+01,3.33095e+00,
1.23368e+04,2.42631e+01,3.31193e+00,
1.23588e+04,2.43389e+01,3.30832e+00,
1.23747e+04,2.43754e+01,3.32645e+00,
1.23673e+04,2.43512e+01,3.35259e+00,
1.23543e+04,2.43319e+01,3.31104e+00,
1.23804e+04,2.43851e+01,3.32229e+00,
1.23464e+04,2.43103e+01,3.31943e+00,
1.23610e+04,2.43482e+01,3.31513e+00,
1.23582e+04,2.43359e+01,3.32499e+00,
1.23395e+04,2.42920e+01,3.32912e+00,
1.23178e+04,2.42949e+01,3.31053e+00,
1.23657e+04,2.43532e+01,3.32310e+00,
1.23752e+04,2.43596e+01,3.36372e+00,
1.23427e+04,2.43332e+01,3.31056e+00,
1.23983e+04,2.44120e+01,3.33113e+00,
1.23696e+04,2.43566e+01,3.33450e+00,
1.24008e+04,2.44053e+01,3.33028e+00,
1.23711e+04,2.43556e+01,3.33744e+00,
1.23816e+04,2.44004e+01,3.34350e+00,
1.23706e+04,2.43523e+01,3.31238e+00,
1.23507e+04,2.43086e+01,3.34741e+00,
1.23868e+04,2.43996e+01,3.32194e+00,
1.23526e+04,2.43415e+01,3.31647e+00,
1.23638e+04,2.43301e+01,3.33092e+00,
1.24229e+04,2.44565e+01,3.33666e+00,
1.23682e+04,2.43558e+01,3.30297e+00,
1.23972e+04,2.43991e+01,3.33904e+00,
1.24207e+04,2.44226e+01,3.32852e+00,
1.24059e+04,2.44376e+01,3.33661e+00,
1.23831e+04,2.43513e+01,3.31418e+00,
1.24150e+04,2.44285e+01,3.32570e+00,
1.23986e+04,2.44378e+01,3.32330e+00,
1.23868e+04,2.43575e+01,3.31231e+00,
1.24279e+04,2.44753e+01,3.33060e+00,
1.23777e+04,2.43766e+01,3.32111e+00,
1.23957e+04,2.43999e+01,3.32017e+00,
1.24253e+04,2.44742e+01,3.34003e+00,
1.23981e+04,2.44264e+01,3.33989e+00,
1.23904e+04,2.43994e+01,3.32756e+00,
1.24293e+04,2.44474e+01,3.35133e+00,
1.23854e+04,2.43823e+01,3.33493e+00,
1.24298e+04,2.44569e+01,3.34240e+00,
1.24172e+04,2.44614e+01,3.33047e+00,
1.24266e+04,2.44639e+01,3.35522e+00,
1.24208e+04,2.44790e+01,3.32933e+00,
1.24345e+04,2.44590e+01,3.31516e+00,
1.24604e+04,2.45170e+01,3.38086e+00,
1.24442e+04,2.45011e+01,3.33764e+00,
1.24318e+04,2.44839e+01,3.35604e+00,
1.24406e+04,2.44877e+01,3.35644e+00,
1.24282e+04,2.44556e+01,3.35290e+00,
1.24592e+04,2.45274e+01,3.33839e+00,
1.24413e+04,2.44945e+01,3.33156e+00,
1.24583e+04,2.45588e+01,3.36008e+00,
1.24515e+04,2.45157e+01,3.32763e+00,
1.24288e+04,2.44868e+01,3.36122e+00,
1.24233e+04,2.44815e+01,3.35529e+00,
1.24657e+04,2.45232e+01,3.34955e+00,
1.24736e+04,2.45415e+01,3.34998e+00,
1.24501e+04,2.45169e+01,3.34945e+00,
1.24625e+04,2.45276e+01,3.36036e+00,
1.24546e+04,2.45022e+01,3.35004e+00,
1.24128e+04,2.44511e+01,3.32390e+00,
1.24459e+04,2.45155e+01,3.36572e+00,
1.24546e+04,2.45010e+01,3.35051e+00,
1.24789e+04,2.45523e+01,3.36580e+00,
1.24246e+04,2.44597e+01,3.35448e+00,
1.24527e+04,2.45058e+01,3.33311e+00,
1.24294e+04,2.44516e+01,3.33303e+00,
1.24614e+04,2.45255e+01,3.34317e+00,
1.24115e+04,2.44372e+01,3.32757e+00,
1.24387e+04,2.45035e+01,3.36666e+00,
1.24269e+04,2.44517e+01,3.34262e+00,
1.24412e+04,2.44793e+01,3.33453e+00,
1.24386e+04,2.44825e+01,3.35934e+00,
1.24176e+04,2.44189e+01,3.34128e+00,
1.24198e+04,2.44473e+01,3.33670e+00,
1.24551e+04,2.45032e+01,3.32958e+00,
1.24085e+04,2.44274e+01,3.34373e+00,
1.24262e+04,2.44767e+01,3.35978e+00,
1.24646e+04,2.45128e+01,3.36559e+00,
1.24295e+04,2.44536e+01,3.34301e+00,
1.24224e+04,2.44425e+01,3.32735e+00,
