555.55,7.80,7.16
504.62,7.06,7.86
527.95,7.07,6.84
546.35,8.31,6.24
456.25,7.48,7.75
466.22,7.17,6.81
507.77,6.79,7.31
528.58,6.53,7.35
465.68,6.90,6.74
500.40,6.99,6.98
516.36,6.58,7.31
434.14,7.49,8.32
561.15,7.22,7.17
542.83,7.69,8.26
528.01,7.24,5.66
945.24,12.66,13.38
10627.90,123.03,59.64
30070.70,342.04,137.70
51280.20,579.36,220.07
70021.20,788.56,295.42
82486.70,929.18,346.97
87570.50,983.46,366.50
88078.70,989.27,370.83
88986.40,998.15,373.89
86920.90,973.58,364.90
60387.60,672.75,257.10
29448.80,327.50,131.44
9763.27,108.42,56.57
3425.00,38.65,35.55
1645.31,19.46,21.02
1035.58,14.35,13.86
862.40,11.54,11.42
808.93,10.43,11.79
870.69,10.59,10.41
839.26,10.24,10.95
732.31,10.40,9.15
664.47,9.80,7.86
616.02,9.16,10.36
583.18,8.51,9.21
657.97,8.11,8.96
565.19,8.17,8.73
617.79,7.97,7.09
579.88,8.21,8.26
497.11,7.92,7.46
564.83,8.42,8.08
562.03,7.52,7.70
620.85,6.91,7.34
560.69,7.08,7.02
633.76,8.38,8.48
14117.30,163.52,75.66
69667.40,788.03,298.92
120781.00,1359.30,506.32
150345.00,1684.39,623.73
134645.00,1505.01,560.49
83066.90,921.43,348.44
34059.40,376.71,148.22
10387.90,115.52,57.48
3651.78,41.78,35.21
1849.95,22.11,24.44
1408.23,17.18,17.99
1263.09,16.04,17.51
1183.38,15.37,16.01
1187.99,13.73,15.50
1043.14,13.23,13.41
865.33,11.60,13.35
803.88,10.84,11.90
704.32,9.73,10.41
690.34,8.54,8.61
678.72,8.26,8.62
660.87,8.34,8.79
593.76,8.14,8.43
562.49,8.15,8.62
545.79,7.85,9.55
555.17,7.64,7.15
506.81,7.71,7.17
435.41,7.30,7.57
460.81,7.60,7.42
507.64,7.00,7.80
510.31,6.85,6.11
522.60,8.05,8.21
